step_size,num_minibatches,rollout_steps,entropy_coef,auc_seed_10000,auc_seed_20000,auc_seed_30000,auc_seed_40000,auc_seed_50000,mean_auc,std_auc,min_auc,max_auc,n_seeds
3.0000000000000014e-05,16,2750,0.05,-24319.295252229025,-20847.85124061685,-20866.395412150516,-21520.607869712574,-21019.488937508748,-21714.72774244354,1324.8361442794414,-24319.295252229025,1324.8361442794414,9
3.0000000000000014e-05,16,500,0.0,-15737.875039985076,-15638.787549533025,-42127.8578895185,-21439.678519471672,-17566.99210619981,-22502.238220941617,10035.080458776933,-42127.8578895185,10035.080458776933,9
9.48683298050514e-05,100,2750,0.0,-17990.949957587036,-29040.453797610116,-28190.429415914074,-12914.823989873556,-24415.836072015485,-22510.498646600056,6181.189707381488,-29040.453797610116,6181.189707381488,9
3.0000000000000014e-05,72,2750,0.0,-18699.831226141014,-16131.541239262657,-30372.918205137477,-34959.828114301075,-16249.806664355088,-23282.78508983946,7851.494910503387,-34959.828114301075,7851.494910503387,9
3.0000000000000014e-05,44,3875,0.0,-21947.929886075857,-21531.475990869312,-29686.15353233042,-22908.857514417137,-20551.754922794884,-23325.234369297523,3269.293112701145,-29686.15353233042,3269.293112701145,9
9.48683298050514e-05,44,1625,0.0,-14542.830020362151,-14090.228222952393,-33573.5816926428,-17009.97014042532,-37577.37196848317,-23358.79640897317,10103.909579021454,-37577.37196848317,10103.909579021454,9
3.0000000000000014e-05,72,3875,0.0,-23887.84013355345,-16407.43854617862,-31654.004116657234,-22108.518634209664,-22752.36033012128,-23362.03235214405,4885.542778196386,-31654.004116657234,4885.542778196386,9
3.0000000000000014e-05,44,2750,0.0,-28381.016129479358,-18385.144127080603,-30947.709963601992,-20453.874020562707,-19055.461824980455,-23444.64121314102,5185.979808181062,-30947.709963601992,5185.979808181062,9
9.48683298050514e-05,128,2750,0.0,-15467.28029336078,-35961.897336359485,-21395.769345797253,-15520.89070897306,-28953.97680436849,-23459.962897771817,7970.63725139274,-35961.897336359485,7970.63725139274,9
3.0000000000000014e-05,128,5000,0.0,-23861.055817025688,-22481.277584129897,-29857.993020846534,-22801.769668887875,-18983.44576964351,-23597.108372106704,3533.6063574797786,-29857.993020846534,3533.6063574797786,9
9.48683298050514e-05,100,3875,0.0,-21609.221326981773,-29046.02040567919,-28743.1215236144,-18836.27465361568,-19875.52130208871,-23622.031842395947,4396.280944782002,-29046.02040567919,4396.280944782002,9
3.0000000000000014e-05,44,5000,0.0,-22905.64481775675,-21281.583123738834,-28823.526125512348,-24759.04805975227,-20714.458479810146,-23696.85212131407,2924.559854668411,-28823.526125512348,2924.559854668411,9
9.48683298050514e-05,16,5000,0.0,-21377.43684626109,-25026.92014226115,-29774.184501397354,-22705.602311612416,-20238.62426797607,-23824.553613901615,3374.7033864117548,-29774.184501397354,3374.7033864117548,9
3.0000000000000014e-05,44,3875,0.05,-24974.92607085786,-25579.61431915165,-17081.785888932005,-28631.54173328886,-24582.040698120192,-24169.981742070115,3819.759939204721,-28631.54173328886,3819.759939204721,9
3.0000000000000014e-05,100,5000,0.0,-25418.827341538978,-21085.300003919867,-36459.10718478308,-21290.603628156776,-17240.56881393448,-24298.881394466636,6607.904163246957,-36459.10718478308,6607.904163246957,9
3.0000000000000014e-05,16,5000,0.2,-24885.39029669,-26980.416835727174,-22575.146520341466,-26165.84294600974,-21563.680037755516,-24434.09532730478,2067.9141563384933,-26980.416835727174,2067.9141563384933,9
9.48683298050514e-05,72,5000,0.0,-22134.78166584721,-18881.018390710175,-30261.669694248387,-21684.555615846217,-30050.601375860257,-24602.52534850245,4670.06199611755,-30261.669694248387,4670.06199611755,9
9.48683298050514e-05,44,3875,0.0,-20324.567202267815,-28989.941786353647,-29365.456975423476,-27427.619866731544,-17792.57398736741,-24780.031963628782,4784.034284339354,-29365.456975423476,4784.034284339354,9
3.0000000000000014e-05,16,5000,0.05,-25906.477373190854,-27568.403206889754,-24237.806864190985,-25330.77275617709,-21427.148339645737,-24894.121708018884,2040.4883325862932,-27568.403206889754,2040.4883325862932,9
3.0000000000000014e-05,16,3875,0.05,-24933.687185036382,-28763.568801627272,-24271.480774855405,-23796.75901894671,-23903.1594996802,-25133.731056029195,1858.0105349706864,-28763.568801627272,1858.0105349706864,9
3.0000000000000014e-05,100,3875,0.0,-25381.502271539222,-20731.473197953223,-29533.155443526033,-25973.522432626687,-24219.64274451311,-25167.859218031655,2840.1120789778142,-29533.155443526033,2840.1120789778142,9
