ss,bs,tu,e,rb,ar,auc_seed_1000,auc_seed_2000,auc_seed_3000,auc_seed_4000,auc_seed_5000,auc_seed_6000,auc_seed_7000,auc_seed_8000,auc_seed_9000,auc_seed_10000,mean_auc,std_auc,min_auc,max_auc,n_seeds,file_name
0.0001,256,100,0.01,2000000,3,,,,,,,33578.480240717596,,,,33578.480240717596,0.0,0.0,33578.480240717596,5,car-train_7000_1000000_ss_0.0001_bs_256_tu_100_e_0.01_rb_2000000_ar_3
0.001,64,500,0.01,2000000,3,,,,,,,,,,30680.46866417632,30680.46866417632,0.0,0.0,30680.46866417632,5,car-train_10000_1000000_ss_0.001_bs_64_tu_500_e_0.01_rb_2000000_ar_3
0.001,64,500,0.01,1000000,3,,,,,,,,,,30680.46866417632,30680.46866417632,0.0,0.0,30680.46866417632,5,car-train_10000_1000000_ss_0.001_bs_64_tu_500_e_0.01_rb_1000000_ar_3
0.001,64,1000,0.01,2000000,3,,,,,,,,29658.758681815354,,,29658.758681815354,0.0,0.0,29658.758681815354,5,car-train_8000_1000000_ss_0.001_bs_64_tu_1000_e_0.01_rb_2000000_ar_3
0.001,64,1000,0.01,1000000,3,,,,,,,,29658.758681815354,,,29658.758681815354,0.0,0.0,29658.758681815354,5,car-train_8000_1000000_ss_0.001_bs_64_tu_1000_e_0.01_rb_1000000_ar_3
0.0001,64,500,0.01,1000000,7,102399.96492710605,,,,,,,-44568.18166446109,,,28915.89163132248,73484.07329578357,-44568.18166446109,102399.96492710605,6,car-train_1000_1000000_ss_0.0001_bs_64_tu_500_e_0.01_rb_1000000_ar_7;car-train_8000_1000000_ss_0.0001_bs_64_tu_500_e_0.01_rb_1000000_ar_7
0.0001,64,500,0.01,2000000,7,102399.96492710605,,,,,,,-44568.18166446109,,,28915.89163132248,73484.07329578357,-44568.18166446109,102399.96492710605,6,car-train_1000_1000000_ss_0.0001_bs_64_tu_500_e_0.01_rb_2000000_ar_7;car-train_8000_1000000_ss_0.0001_bs_64_tu_500_e_0.01_rb_2000000_ar_7
0.0001,128,500,0.01,1000000,7,,,,27892.912201210234,,,,,,,27892.912201210234,0.0,0.0,27892.912201210234,5,car-train_4000_1000000_ss_0.0001_bs_128_tu_500_e_0.01_rb_1000000_ar_7
0.0001,128,500,0.01,2000000,7,,,,27892.912201210234,,,,,,,27892.912201210234,0.0,0.0,27892.912201210234,5,car-train_4000_1000000_ss_0.0001_bs_128_tu_500_e_0.01_rb_2000000_ar_7
0.001,128,1000,0.01,1000000,3,,13863.559642868457,,,,,,,,,13863.559642868457,0.0,0.0,13863.559642868457,5,car-train_2000_1000000_ss_0.001_bs_128_tu_1000_e_0.01_rb_1000000_ar_3
0.001,64,1000,0.01,1000000,5,,,,,,,35718.67501944063,,-15680.05979823479,,10019.307610602918,25699.36740883771,-15680.05979823479,35718.67501944063,6,car-train_7000_1000000_ss_0.001_bs_64_tu_1000_e_0.01_rb_1000000_ar_5;car-train_9000_1000000_ss_0.001_bs_64_tu_1000_e_0.01_rb_1000000_ar_5
0.001,64,1000,0.01,2000000,5,,,,,,,35718.67501944063,,-15680.05979823479,,10019.307610602918,25699.36740883771,-15680.05979823479,35718.67501944063,6,car-train_7000_1000000_ss_0.001_bs_64_tu_1000_e_0.01_rb_2000000_ar_5;car-train_9000_1000000_ss_0.001_bs_64_tu_1000_e_0.01_rb_2000000_ar_5
0.001,64,100,0.01,1000000,3,,,,,,,31785.833019443504,,-30777.044460588393,,504.3942794275554,31281.438740015947,-30777.044460588393,31785.833019443504,6,car-train_7000_1000000_ss_0.001_bs_64_tu_100_e_0.01_rb_1000000_ar_3;car-train_9000_1000000_ss_0.001_bs_64_tu_100_e_0.01_rb_1000000_ar_3
0.001,64,100,0.01,2000000,3,,,,,,,31785.833019443504,,-30777.044460588393,,504.3942794275554,31281.438740015947,-30777.044460588393,31785.833019443504,6,car-train_7000_1000000_ss_0.001_bs_64_tu_100_e_0.01_rb_2000000_ar_3;car-train_9000_1000000_ss_0.001_bs_64_tu_100_e_0.01_rb_2000000_ar_3
0.0001,256,100,0.01,1000000,7,,,,,,,,,,-2732.3148184817505,-2732.3148184817505,0.0,-2732.3148184817505,0.0,5,car-train_10000_1000000_ss_0.0001_bs_256_tu_100_e_0.01_rb_1000000_ar_7
0.0001,256,1000,0.01,2000000,5,,,35557.35897876665,,-46778.99642268935,,,,,,-5610.81872196135,41168.177700728,-46778.99642268935,41168.177700728,6,car-train_3000_1000000_ss_0.0001_bs_256_tu_1000_e_0.01_rb_2000000_ar_5;car-train_5000_1000000_ss_0.0001_bs_256_tu_1000_e_0.01_rb_2000000_ar_5
0.0001,256,1000,0.01,1000000,5,,,35557.35897876665,,-46778.99642268935,,,,,,-5610.81872196135,41168.177700728,-46778.99642268935,41168.177700728,6,car-train_3000_1000000_ss_0.0001_bs_256_tu_1000_e_0.01_rb_1000000_ar_5;car-train_5000_1000000_ss_0.0001_bs_256_tu_1000_e_0.01_rb_1000000_ar_5
0.001,128,100,0.01,1000000,3,,,,,,-24638.56641227119,,,310.85822232981155,,-12163.85409497069,12474.7123173005,-24638.56641227119,12474.7123173005,6,car-train_6000_1000000_ss_0.001_bs_128_tu_100_e_0.01_rb_1000000_ar_3;car-train_9000_1000000_ss_0.001_bs_128_tu_100_e_0.01_rb_1000000_ar_3
0.001,256,100,0.01,1000000,7,-41037.50239360363,,,,,8736.204634895761,,,,,-16150.648879353936,24886.853514249695,-41037.50239360363,24886.853514249695,6,car-train_1000_1000000_ss_0.001_bs_256_tu_100_e_0.01_rb_1000000_ar_7;car-train_6000_1000000_ss_0.001_bs_256_tu_100_e_0.01_rb_1000000_ar_7
0.001,256,100,0.01,2000000,7,-41037.50239360363,,,,,8736.204634895761,,,,,-16150.648879353936,24886.853514249695,-41037.50239360363,24886.853514249695,6,car-train_1000_1000000_ss_0.001_bs_256_tu_100_e_0.01_rb_2000000_ar_7;car-train_6000_1000000_ss_0.001_bs_256_tu_100_e_0.01_rb_2000000_ar_7
0.0001,128,1000,0.01,1000000,7,,,,,,,,,,-18368.759157614542,-18368.759157614542,0.0,-18368.759157614542,0.0,5,car-train_10000_1000000_ss_0.0001_bs_128_tu_1000_e_0.01_rb_1000000_ar_7
0.001,128,100,0.1,1000000,3,,,,,,,,,-19724.265724945155,,-19724.265724945155,0.0,-19724.265724945155,0.0,5,car-train_9000_1000000_ss_0.001_bs_128_tu_100_e_0.1_rb_1000000_ar_3
